term,term_code,course_code,course_title,section,crn,meeting_schedule,location,location_status,instructor,schedule_type_code,class_status,cab_status_code,cancelled,start_date,end_date,cab_schedule_and_location,source_url
Fall 2026,202610,TAPS 0220,Persuasive Communication,S02,14026,MW 1pm-3:50pm,Lyman Hall 007,Physical location published,B. Tannenbaum,S,Active,A,false,2026-09-09,2026-12-21,MW 1pm-3:50pm in Lyman Hall 007,https://cab.brown.edu/
Fall 2026,202610,TAPS 0220,Persuasive Communication,S03,14027,MW 9am-11:50am,Lyman Hall 005,Physical location published,B. Tannenbaum,S,Active,A,false,2026-09-09,2026-12-21,MW 9am-11:50am in Lyman Hall 005,https://cab.brown.edu/
Fall 2026,202610,TAPS 0220,Persuasive Communication,S04,14028,MW 1pm-3:50pm,Lyman Hall 005,Physical location published,B. Tannenbaum,S,Active,A,false,2026-09-09,2026-12-21,MW 1pm-3:50pm in Lyman Hall 005,https://cab.brown.edu/
Fall 2026,202610,TAPS 0220,Persuasive Communication,S05,16173,MW 9am-11:50am,Lyman Hall 211,Physical location published,B. Tannenbaum,S,Active,A,false,2026-09-09,2026-12-21,MW 9am-11:50am in Lyman Hall 211,https://cab.brown.edu/
Fall 2026,202610,TAPS 0230,Acting,S01,14183,MW 1pm-3:50pm,Lyman Hall 002,Physical location published,R. Waterhouse,S,Active,A,false,2026-09-09,2026-12-21,MW 1pm-3:50pm in Lyman Hall 002,https://cab.brown.edu/
Fall 2026,202610,TAPS 0250,Introduction to Technical Theatre and Production,S01,14184,MWF 10am-11:50am,50 John Street 120,Physical location published,A. Eizenberg,S,Active,A,false,2026-09-09,2026-12-21,MWF 10am-11:50am in 50 John Street 120,https://cab.brown.edu/
Fall 2026,202610,TAPS 0260,Stage Lighting,S01,14238,TTh 10:30am-12:50pm,TBD,Physical location not yet published,T. Hett,S,Full,F,false,2026-09-09,2026-12-21,TTh 10:30am-12:50pm Location TBD,https://cab.brown.edu/
Fall 2026,202610,TAPS 0350,Black Performance Theory,S01,14181,M 1pm-3:30pm,Lyman Hall 212,Physical location published,J. Brown,S,Active,A,false,2026-09-09,2026-12-21,M 1pm-3:30pm in Lyman Hall 212,https://cab.brown.edu/
Fall 2026,202610,TAPS 0800L,Devised Theatre,S01,16222,M 4pm-6:20pm,Lyman Hall 002,Physical location published,A. McGroddy,S,Active,A,false,2026-09-09,2026-12-21,M 4pm-6:20pm in Lyman Hall 002,https://cab.brown.edu/
Fall 2026,202610,TAPS 1100,Stage Management,S01,14222,M 10am-12:50pm,TBD,Physical location not yet published,B. Reo,S,Active,A,false,2026-09-09,2026-12-21,M 10am-12:50pm Location TBD,https://cab.brown.edu/
Fall 2026,202610,TAPS 1148,Introduction to Contemporary Dance,S01,14009,TTh 5pm-6:50pm,Lyman Hall 026,Physical location published,S. Baryshnikov,S,Full,F,false,2026-09-09,2026-12-21,TTh 5pm-6:50pm in Lyman Hall 026,https://cab.brown.edu/
Fall 2026,202610,TAPS 1230,Global Theatre and Performance: Paleolithic to the Threshold of Modernity,S01,14218,TTh 1pm-2:20pm,Lyman Hall 007,Physical location published,J. Dellecave,S,Active,A,false,2026-09-09,2026-12-21,TTh 1pm-2:20pm in Lyman Hall 007,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S02,13180,TBA,TBA,TBA,S. dAngelo,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S03,13181,TBA,TBA,TBA,R. Fitzgerald,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S05,13182,TBA,TBA,TBA,B. Reo,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S06,13183,TBA,TBA,TBA,T. Hett,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S07,13184,TBA,TBA,TBA,R. Cesario,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S08,13185,TBA,TBA,TBA,K. Moore,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S09,13186,TBA,TBA,TBA,C. Crawford,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S10,13187,TBA,TBA,TBA,S. Skiles,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S12,13188,TBA,TBA,TBA,A. Eizenberg,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1251P,Theatre Practicum,S14,13189,TBA,TBA,TBA,A. Haynes,I,Full,F,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1280G,Introduction to Theatrical Design,S01,14220,WF 1pm-2:20pm,50 John Street 220,Physical location published,R. Fitzgerald,S,Active,A,false,2026-09-09,2026-12-21,WF 1pm-2:20pm in 50 John Street 220,https://cab.brown.edu/
Fall 2026,202610,TAPS 1280K,Mindfulness and Movement: Interoceptive Expressive Arts,S01,14965,MWF 10am-11:50am,Lyman Hall 026,Physical location published,J. Dellecave,S,Active,A,false,2026-09-09,2026-12-21,MWF 10am-11:50am in Lyman Hall 026,https://cab.brown.edu/
Fall 2026,202610,TAPS 1281O,"Acting Outside the Box: Identity, Empathy, and Character in Performance",S01,14194,TTh 1pm-3:50pm,Lyman Hall 002,Physical location published,K. Moore,S,Active,A,false,2026-09-09,2026-12-21,TTh 1pm-3:50pm in Lyman Hall 002,https://cab.brown.edu/
Fall 2026,202610,TAPS 1285,Film Acting  I,S01,14182,TTh 10am-12:50pm,TBD,Physical location not yet published,R. Waterhouse,S,Active,A,false,2026-09-09,2026-12-21,TTh 10am-12:50pm Location TBD,https://cab.brown.edu/
Fall 2026,202610,TAPS 1342,Ballet II,S01,14240,TTh 5pm-6:50pm,TBD,Physical location not yet published,P. Seto-Weiss,S,Full,F,false,2026-09-09,2026-12-21,TTh 5pm-6:50pm Location TBD,https://cab.brown.edu/
Fall 2026,202610,TAPS 1348,Contemporary Dance Studio Project 1,S01,14189,TTh 10am-12:50pm,Lyman Hall 026,Physical location published,S. Baryshnikov,S,Active,A,false,2026-09-09,2026-12-21,TTh 10am-12:50pm in Lyman Hall 026,https://cab.brown.edu/
Fall 2026,202610,TAPS 1500R,Auditioning for the Camera,S01,16217,M 10am-12:30pm in Lindemann Performing Arts 308,Not published in CAB,Physical location not yet published,K. Burton,S,Active,A,false,2026-09-09,2026-12-21,M 10am-12:30pm in Lindemann Performing Arts 308,https://cab.brown.edu/
Fall 2026,202610,TAPS 1511,Directing Workshop,L01,15908,Th 4pm-5:50pm in Lindemann Performing Arts 308,Not published in CAB,Physical location not yet published,K. Moore,L,Active,A,false,2026-09-09,2026-12-21,Th 4pm-5:50pm in Lindemann Performing Arts 308,https://cab.brown.edu/
Fall 2026,202610,TAPS 1511,Directing Workshop,L02,16218,M 1pm-2:20pm in Lindemann Performing Arts 308,Not published in CAB,Physical location not yet published,K. Moore,L,Active,A,false,2026-09-09,2026-12-21,M 1pm-2:20pm in Lindemann Performing Arts 308,https://cab.brown.edu/
Fall 2026,202610,TAPS 1511,Directing Workshop,S01,15786,W 11:30am-2:20pm in Lindemann Performing Arts 308,Not published in CAB,Physical location not yet published,K. Moore,S,Active,A,false,2026-09-09,2026-12-21,W 11:30am-2:20pm in Lindemann Performing Arts 308,https://cab.brown.edu/
Fall 2026,202610,TAPS 1600V,Social Practice: Art in Everyday Life (VISA 1600),,15866,,See primary listing,Cross-listed reference,See details,0,Cross-listed reference,X,false,2026-09-09,2026-12-21,,https://cab.brown.edu/
Fall 2026,202610,TAPS 1644M,From Nutcracker to Night Creature: Music/Dance Intersections (MUSC 1644),,16185,,See primary listing,Cross-listed reference,See details,0,Cross-listed reference,X,false,2026-09-09,2026-12-21,,https://cab.brown.edu/
Fall 2026,202610,TAPS 1670,Latinx Theatre + Performance,S01,14219,W 1pm-3:30pm,Lyman Hall 212,Physical location published,Ramos/Ybarra,S,Active,A,false,2026-09-09,2026-12-21,W 1pm-3:30pm in Lyman Hall 212,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S04,13190,TBA,TBA,TBA,I. Ramos,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S05,13191,TBA,TBA,TBA,J. Brown,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S06,13192,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S09,13193,TBA,TBA,TBA,A. Brazil,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S10,13194,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S11,13195,TBA,TBA,TBA,L. Hilton,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S12,13196,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S13,13197,TBA,TBA,TBA,B. Tannenbaum,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S15,13198,TBA,TBA,TBA,P. Ybarra,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
