osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,142009356,Hiram Hill House,false,house,,,,85,Power Street,Providence,RI,,,,,,41.8227258,-71.401054,https://www.openstreetmap.org/way/142009356,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009357,,false,house,,,,183,,,,,,,,,41.8322595,-71.4037216,https://www.openstreetmap.org/way/142009357,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009363,,false,house,,,,,,,,,,,,,41.8292109,-71.4082768,https://www.openstreetmap.org/way/142009363,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009364,,false,house,,,,"42,44",Benefit Street,,,,,,,,41.8325999,-71.4097892,https://www.openstreetmap.org/way/142009364,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009365,,false,apartments,,Bright Lights Properties,,190,Angell Street,Providence,RI,,3,,,https://brightlightsproperties.com/190-angell-st-college-hill,41.8283385,-71.4001755,https://www.openstreetmap.org/way/142009365,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009371,,false,house,,,,,,,,,,,,,41.8320143,-71.4022281,https://www.openstreetmap.org/way/142009371,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009372,,false,house,,,,96,Lloyd Avenue,,,,,,,,41.8316145,-71.403306,https://www.openstreetmap.org/way/142009372,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009373,,false,house,,,,94,Meeting Street,,,,,,,,41.8289008,-71.4062215,https://www.openstreetmap.org/way/142009373,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009380,,false,house,,,,101,Benefit Street,,,,,,,,41.8308263,-71.4087157,https://www.openstreetmap.org/way/142009380,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009382,,false,house,,,,,,,,,,,,,41.8319855,-71.4020402,https://www.openstreetmap.org/way/142009382,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009384,,false,house,,,,,,,,,,,,,41.8297728,-71.4040461,https://www.openstreetmap.org/way/142009384,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009389,,false,house,,,,135,Pratt Avenue,,,,,,,,41.8312174,-71.4082581,https://www.openstreetmap.org/way/142009389,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009393,,false,house,,,,91,Prospect Street,,,,,,,,41.8304316,-71.405286,https://www.openstreetmap.org/way/142009393,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009395,,false,house,,,,147,,,,,2,,,,41.8223337,-71.3987059,https://www.openstreetmap.org/way/142009395,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009398,University Club,false,house,,,,,,,,,,,,https://www.uclubprov.com/,41.8269397,-71.4069692,https://www.openstreetmap.org/way/142009398,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009400,,false,house,,,,,,,,,,,,,41.8287799,-71.4081072,https://www.openstreetmap.org/way/142009400,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009402,,false,house,,,,,,,,,,,,,41.8316497,-71.4023277,https://www.openstreetmap.org/way/142009402,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009404,,false,house,,,,31,,,,,,,,,41.8215586,-71.4000169,https://www.openstreetmap.org/way/142009404,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009409,,false,house,,,,122,Benefit Street,,,,2,,,,41.8299229,-71.4088765,https://www.openstreetmap.org/way/142009409,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009411,,false,house,,,,62,Meeting Street,,,,,,,,41.8288023,-71.4074988,https://www.openstreetmap.org/way/142009411,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009415,,false,house,,,,25;27,John Street,,,,,,,,41.8215457,-71.4003156,https://www.openstreetmap.org/way/142009415,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009418,,false,house,,,,165,Brown Street,Providence,RI,02906,,,,,41.8317008,-71.4036545,https://www.openstreetmap.org/way/142009418,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009420,,false,house,,,,61,Benefit Street,,,,,,,,41.8321757,-71.4092957,https://www.openstreetmap.org/way/142009420,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009422,,false,house,,,,,,,,,,,,,41.831608,-71.4029052,https://www.openstreetmap.org/way/142009422,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009427,,false,house,,,,248,Bowen Street,,,,,,,,41.8310292,-71.4005174,https://www.openstreetmap.org/way/142009427,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009428,,false,house,,,,,,,,,,,,,41.8328684,-71.4014365,https://www.openstreetmap.org/way/142009428,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009429,,false,house,,,,118,Benefit Street,,,,2,,,,41.8300653,-71.4088859,https://www.openstreetmap.org/way/142009429,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009434,,false,house,,,,,,,,,,,,,41.8299014,-71.4037871,https://www.openstreetmap.org/way/142009434,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009436,,false,house,,,,76,Prospect Street,,,,,,,,41.8294649,-71.4054028,https://www.openstreetmap.org/way/142009436,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009437,,false,house,,,,81,Benefit Street,,,,,,,,41.8313873,-71.4090804,https://www.openstreetmap.org/way/142009437,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009442,,false,house,,,,,,,,,,,,,41.8319985,-71.4024198,https://www.openstreetmap.org/way/142009442,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009444,,false,house,,,,,,,,,,,,,41.8304806,-71.40463,https://www.openstreetmap.org/way/142009444,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009445,,false,house,,,,13,Cushing Street,,,,,,,,41.8294037,-71.4057004,https://www.openstreetmap.org/way/142009445,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
