title,categories,author,published_at,article_url,summary_excerpt,image_url,source_url
"On RISD's campus, AI remains contentious issue",Metro | homepage,Emily Feil,"Fri, 24 Apr 2026 03:58:25 -0400",https://www.browndailyherald.com/article/2026/04/on-risds-campus-ai-remains-contentious-issue,"When applying to the Rhode Island School of Design, students are allowed to use artificial intelligence in their portfolio as long as the admissions committee is made aware of how it was used in the creation of the work.But on campus, the RISD community is split on the role of AI in art.While RISD has not published a formal institutional policy on AI, its Academic Code of Conduct prohibits the use of AI if it is not attributed properly or if it gives the student an ""unfair academic advantage....",,https://www.browndailyherald.com/feed
Rahman '26: Why I write,Columns | Opinions,Tasawwar Rahman,"Fri, 24 Apr 2026 02:34:58 -0400",https://www.browndailyherald.com/article/2026/04/rahman-26-why-i-write,"Imagine you are a 19th-century shipowner about to send one of your vessels to the New World, carrying a cargo of hopeful families seeking a better life. While your ship has historically been sturdy, she has seen many rough seas and often needs repair. Doubt begins to creep into your mind about whether your ship is truly safe. If, nonetheless, you follow through and send this ship out to sail, should disaster befall the voyage, are you morally liable for what happens to these families?This is...",,https://www.browndailyherald.com/feed
A snapshot of sports game attendance at Brown,Sports | homepage,Abigail Donovan,"Fri, 24 Apr 2026 02:03:27 -0400",https://www.browndailyherald.com/article/2026/04/a-snapshot-of-sports-game-attendance-at-brown,https://projects.browndailyher...,,https://www.browndailyherald.com/feed
Editorial: Brown must grapple with its relationship with the United States,Opinions | Editorials,Editorial Page Board,"Fri, 24 Apr 2026 01:49:15 -0400",https://www.browndailyherald.com/article/2026/04/editorial-brown-must-grapple-with-its-relationship-with-america,"Last week, Yale released a report arguing that universities share responsibility for the nation's loss of trust in higher education. Trust in private universities - along with the reputation of the Ivy League - is especially depressed. Faith in higher education reached a historic low of 36% in 2024. Even though we are no longer facing immediate funding threats from the federal government, Brown should not ignore the American public's skepticism. As the University is able to refocus on its ins...",,https://www.browndailyherald.com/feed
Brown researchers highlight which abnormalities in lung CT scans might reveal non-lung cancers,Science &amp; Research,Nishita Malhan,"Fri, 24 Apr 2026 01:43:02 -0400",https://www.browndailyherald.com/article/2026/04/brown-researchers-highlight-which-abnormalities-in-lung-ct-scans-might-reveal-non-lung-cancers,"It has long been known that smoking cigarettes is a leading cause of lung cancer. But what might not be as obvious is that cigarette smoking can also lead to seemingly unrelated types of cancer, like urinary or pancreatic cancer.A lung CT scan, or computerized tomography scan, is a vital tool used to detect lung cancer, but can also be useful in identifying non-lung cancers. In a new study, Brown researchers identified which abnormalities found in lung CT scans should be followed up with furt...",,https://www.browndailyherald.com/feed
Manhardt '26: Take an acting class,Columns | Opinions,Batisse Manhardt,"Fri, 24 Apr 2026 01:30:40 -0400",https://www.browndailyherald.com/article/2026/04/manhardt-26-take-an-acting-class,"I stumbled into TAPS 0030: ""Introduction to Acting and Directing"" during my fall semester of senior year after a friend randomly mentioned the class to me. I had previously acted in a middle school play, and enjoyed the creative and fun aspects of it, though I'd never taken an acting class. After an amazing first semester, I decided to continue and take TAPS 0230: ""Acting."" After an entire year of acting classes, I realized that these courses offer far more than public speaking skills.Many cl...",,https://www.browndailyherald.com/feed
Aizenberg '26: What I have learned from writing 30 opinion columns for The Herald,Columns | Opinions,Benjamin Aizenberg,"Fri, 24 Apr 2026 01:27:25 -0400",https://www.browndailyherald.com/article/2026/04/aizenberg-26-what-i-have-learned-from-writing-30-opinion-columns-for-the-herald,"It's 3 a.m. and I'm sitting in my cramped dorm room in Perkins Hall, trying to write an opinion column about why Taylor Swift is overrated. The problem is that I don't know much about Taylor Swift, other than that it annoys me when people treat her like a god. I struggle to find a way to start and my argument is vague and shamelessly contrarian. Still, it has to get done - I meet with my editor in nine hours. Eventually, I write the piece and it gets published, though it is not my best work.T...",,https://www.browndailyherald.com/feed
Three more new singles to get you through finals,Arts &amp; Culture | Review,Alyssia Ouhocine,"Fri, 24 Apr 2026 00:29:48 -0400",https://www.browndailyherald.com/article/2026/04/three-more-new-singles-to-get-you-through-finals,"As the academic year comes to a close, Brown students are gearing up for a summer full of possibilities - and whatever fills the next few months. The Herald has your summer soundtrack covered with three hot new singles.April has been a packed month for music lovers, with every genre producing new, inventive tracks to while away the time. Maisie Peters, Lana Del Rey and Kacey Musgraves are just a few standouts to keep an eye on this spring.Maisie Peters's ""Kingmaker (with Julia Michaels)""The r...",,https://www.browndailyherald.com/feed
Professor Omer Bartov's book argues Zionism evolved from humanitarian movement to militarized state ideology,Science &amp; Research,Elizabeth Rosenbaum,"Fri, 24 Apr 2026 00:27:52 -0400",https://www.browndailyherald.com/article/2026/04/professor-omer-bartovs-book-argues-zionism-evolved-from-humanitarian-movement-to-militarized-state-ideology,"When Professor of Holocaust and Genocide Studies Omer Bartov was growing up in Tel Aviv, he played among the rubble of abandoned cemeteries, Arab houses and Palestinian property.But as a child, ""we had no idea what it was, and nobody really told us,"" Bartov recalled in an interview with The Herald. Decades later, he learned that they were remnants of the Nakba - a period of mass displacement of Palestinians that occurred during the 1948 Arab-Israeli war.These lost histories shaped his scholar...",,https://www.browndailyherald.com/feed
"Women's tennis finishes regular season with 4-1 win against Penn, 4-1 loss against Princeton",Sports,Rahul Sameer,"Thu, 23 Apr 2026 03:28:19 -0400",https://www.browndailyherald.com/article/2026/04/womens-tennis-finishes-regular-season-with-4-1-win-against-penn-4-1-loss-against-princeton,"On Saturday, the women's tennis team (16-8, 3-4 Ivy) secured an impressive 4-1 win against Penn (11-12, 2-5 Ivy). The victory sealed their penultimate match of the regular season and marked the Bears' third Ivy win.Following Saturday's success, Bruno faced Princeton (18-3, 6-1 Ivy) on Sunday in the season's final match. Unfortunately for Bruno, the Bears could not maintain momentum from their win over Penn - ultimately losing to the Tigers 4-1. After the loss, Brown sits at No. 4 in the Ivy L...",,https://www.browndailyherald.com/feed
'Point of Entry' exhibit creates art from an American Elm tree,Arts &amp; Culture,Taek Lee,"Thu, 23 Apr 2026 01:49:11 -0400",https://www.browndailyherald.com/article/2026/04/point-of-entry-exhibit-creates-art-from-an-american-elm-tree,"In May 2024, an American elm tree was cut down on the Main Green. Now, two years later, the tree's wood is finding new life through pieces featured in the Brown Art Institute's new ""Point of Entry"" exhibit, which is on display from April 23 through May 27.Eiden Spilker '24 - the exhibit's curator - told The Herald that he wanted the exhibit to illustrate the diverse significance that the elm held for community members.""I was spending so much time thinking about it. What's its meaning? What's...",,https://www.browndailyherald.com/feed
'Man on the Run' depicts a Paul McCartney as wise as he is wild,Arts &amp; Culture | Review,Rebecca Goodman,"Wed, 22 Apr 2026 02:07:25 -0400",https://www.browndailyherald.com/article/2026/04/man-on-the-run-depicts-a-paul-mccartney-as-wise-as-he-is-wild,"Paul McCartney really never left - not in the '70s and not now. ""Man on the Run,"" a new documentary directed by Morgan Neville, which Brown recently screened as part of an event at the Veterans Memorial Auditorium, wholly affirms the legend's lasting power.Consisting of footage and photographs from the '70s, the film documents the decade of Paul McCartney's life between the breakup of The Beatles and the death of John Lennon.The film's opening grapples with the big question: Who broke up The...",,https://www.browndailyherald.com/feed
'Noah Kahan: Out of Body' artfully contextualizes Vermont songwriter's music,Arts &amp; Culture | Review,Talia LeVine,"Wed, 22 Apr 2026 00:22:26 -0400",https://www.browndailyherald.com/article/2026/04/noah-kahan-out-of-body-artfully-contextualizes-vermont-songwriters-music,"Released on April 13, ""Noah Kahan: Out of Body"" is a masterfully crafted film that establishes how the star found his way in the music industry. Available to stream on Netflix, the documentary follows Noah Kahan as he returns to his hometown to reflect on his music, which is heavily influenced by his time growing up in rural Vermont.Through interviews with Kahan, his wife, siblings and parents, viewers learn more about the stories behind his discography, which is heavily influenced by moments...",,https://www.browndailyherald.com/feed
Baseball splits home doubleheader against Columbia,Sports,Harry Guo,"Mon, 20 Apr 2026 23:43:21 -0400",https://www.browndailyherald.com/article/2026/04/baseball-splits-home-doubleheader-against-columbia,"This past weekend, the baseball team (17-14, 9-4 Ivy) split a doubleheader at home against Columbia (10-21, 6-8 Ivy), winning 6-1 in the first game before dropping the second 11-2. Sunday's series finale was postponed due to weather.Coming off the heels of a dominant 9-1 win against Holy Cross (16-23, 10-10 Patriot League) last Tuesday, Bruno entered the series looking to carry the momentum forward.The doubleheader began with an electric performance from pitcher Peter Dubie '26, who struck ou...",,https://www.browndailyherald.com/feed
Softball falls 2-1 in home series against Harvard,Sports,Addison Whiteside,"Wed, 15 Apr 2026 23:48:38 -0400",https://www.browndailyherald.com/article/2026/04/softball-falls-2-1-in-home-series-against-harvard,"This past weekend, softball (11-19, 4-8 Ivy) faced Harvard (16-16-1, 8-4) in a heavy-hitting Ivy League series at home. Despite opening with a strong 4-0 win on Saturday, Bruno couldn't maintain momentum and fell to Harvard 5-1 later that day and 10-2 on Sunday.Despite the mixed results, the team has maintained a positive and united attitude. ""At the end of the day, we always find a way to enjoy the game and each other,"" Lily Berlinger '26 wrote in an email to The Herald.Coming off of the hee...",,https://www.browndailyherald.com/feed
