location,date,day_of_week,hours,location_url,source_url,snapshot_note
Temporary Special Collections Reading Room,2026-07-30,Thursday,10am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-07-31,Friday,10am – 12pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-08-01,Saturday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-26,Sunday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-27,Monday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-28,Tuesday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-29,Wednesday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-30,Thursday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-07-31,Friday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Gildor Family Special Collections Reading Room*,2026-08-01,Saturday,Closed,https://library.brown.edu/hay/access.php#Gildor,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-26,Sunday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-27,Monday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-28,Tuesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-29,Wednesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-30,Thursday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-07-31,Friday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Brown ID Swipe Access,2026-08-01,Saturday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-26,Sunday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-27,Monday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-28,Tuesday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-29,Wednesday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-30,Thursday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-07-31,Friday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library,2026-08-01,Saturday,Swipe only,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-07-26,Sunday,12pm – 7pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-07-27,Monday,9am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-07-28,Tuesday,9am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-07-29,Wednesday,9am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
